Company,Country,Department_1,Department_2,Department_3,Department_4,Salary,Currency
631214657-X,egypt,2,0,1,1,898.81,$
329576814-5,JOD,0,0,1,1,644.20,$
885856569-X,Jordan,0,2,1,1,1079.22,$
280505394-X,egypt,2,2,1,0,1017.75,$
421804787-1,egypt,0,1,2,2,864.26,usd
542051217-3,Egypt,2,2,2,1,658.36,euro
230411834-8,Jordan,2,2,1,2,1250.24,JOD
148252324-8,egypt,2,2,2,2,1089.23,usd
771752041-9,Egypt,1,2,0,0,1321.90,$
061501022-9,Egypt,1,0,1,1,991.27,USD
386484150-X,Kuwait,1,1,0,2,953.43,JOD
156871730-X,egypt,1,2,1,1,750.20,$
795676387-8,Egypt,0,2,1,0,1443.61,USD
270856789-6,JOD,0,2,2,0,920.32,USD
113434658-1,JOD,0,2,2,1,762.43,JOD
360156463-7,egypt,2,0,2,2,1238.18,Euro
192460418-3,Egypt,0,0,1,0,1092.89,usd
455491952-8,Jordan,0,1,2,0,1446.42,euro
378028470-7,Kuwait,2,0,0,0,986.43,$
311065117-3,Egypt,0,2,0,0,938.16,Euro
074300483-3,Jordan,2,0,1,2,1313.48,euro
162298464-1,egypt,0,1,1,2,1415.33,USD
786840617-8,Kuwait,1,2,1,0,680.50,usd
749270368-6,JOD,2,1,0,1,1436.90,Euro
430547479-4,Egypt,2,2,2,2,675.46,Euro
444155027-8,Jordan,2,0,1,1,1368.24,JOD
872691647-9,egypt,0,0,2,1,1085.15,JOD
455400675-1,Kuwait,1,0,0,2,832.14,$
807120665-2,Egypt,2,2,2,2,988.93,Euro
997123792-X,jod,2,0,2,0,813.54,$
020490989-9,egypt,0,1,0,2,714.57,JOD
103816891-0,jod,1,0,2,1,839.42,$
654741436-1,egypt,1,2,2,0,1256.34,euro
262789389-0,jod,0,2,0,1,962.37,euro
940641249-7,,0,2,,0,682.69,JOD
252099290-5,JOD,0,0,2,1,1239.82,Euro
926181227-9,egypt,0,2,0,2,951.35,usd
948059281-9,egypt,2,2,1,2,1132.94,usd
572970079-2,Kuwait,0,2,0,2,1490.03,USD
024483401-6,egypt,2,2,1,1,1350.19,JOD
820242068-7,JOD,0,1,2,0,774.17,USD
953266631-1,Egypt,1,0,0,1,770.87,USD
607133043-2,JOD,0,2,1,2,1137.40,usd
580439974-8,egypt,1,1,2,0,820.95,usd
532875259-7,Jordan,2,2,0,0,1150.17,usd
127601547-X,jod,2,1,2,1,1332.68,Euro
670659907-7,JOD,2,2,2,0,1458.62,USD
093666316-2,JOD,0,2,1,1,1146.24,Euro
358337603-X,Jordan,0,1,2,1,632.26,euro
404906847-8,Egypt,1,0,2,1,1444.50,Euro
756994750-9,Jordan,1,1,1,2,700.25,$
617036569-2,Kuwait,1,1,1,1,666.26,euro
790243697-6,egypt,2,2,1,1,1297.55,$
794098159-5,Kuwait,2,0,1,2,1197.58,USD
096439930-X,egypt,0,0,1,1,951.87,$
779929103-6,Jordan,2,1,1,1,1308.88,USD
606834991-8,Egypt,0,1,1,0,854.14,euro
591645167-9,jod,0,2,1,2,812.56,USD
563198246-3,JOD,0,0,2,2,709.98,euro
250652471-1,egypt,1,1,0,0,691.52,usd
089233570-X,jod,1,0,2,2,873.09,Euro
651776589-1,egypt,0,1,2,1,609.20,Euro
068533607-7,JOD,2,1,2,2,1067.00,$
190937630-2,Kuwait,1,2,1,2,731.15,USD
970136427-9,Jordan,2,1,0,0,1139.31,JOD
357145642-4,JOD,2,2,0,0,1342.73,Euro
164871197-9,egypt,1,1,2,1,1309.56,euro
506139805-X,jod,1,0,1,0,865.42,JOD
277366635-6,egypt,1,0,1,1,1168.27,euro
637848607-7,Jordan,2,2,2,0,894.52,JOD
813915815-1,Kuwait,0,2,0,1,814.95,$
672245431-2,jod,2,1,1,2,1037.98,USD
261240784-7,Kuwait,0,1,1,1,1259.39,$
998334237-5,Egypt,2,1,1,0,969.10,USD
490264419-3,Kuwait,2,0,1,0,1421.29,$
428516606-2,JOD,0,2,2,1,1439.49,JOD
472389690-2,egypt,0,2,0,2,701.19,usd
861096116-8,JOD,1,2,0,2,1344.15,USD
086203358-6,Kuwait,1,2,1,2,1438.63,USD
577620348-1,Egypt,1,2,1,1,727.63,euro
256475700-6,Egypt,2,1,1,1,802.83,euro
182687092-X,egypt,2,2,2,0,722.65,USD
108808978-X,Kuwait,1,0,1,0,1067.39,$
446130582-1,Jordan,1,1,0,2,658.92,USD
452145170-5,Jordan,1,2,1,2,1339.16,Euro
749607083-1,jod,0,0,0,0,1482.82,USD
457205957-8,jod,1,2,2,2,784.72,Euro
595034401-4,Egypt,0,0,2,0,601.83,euro
653779695-4,jod,1,2,2,1,1302.96,Euro
002300276-X,egypt,2,2,2,1,1115.26,euro
117714550-2,egypt,1,1,1,1,1203.21,USD
514724025-X,Egypt,0,2,0,1,1089.70,usd
850620492-5,Jordan,0,2,2,2,1261.05,Euro
215508427-7,Egypt,0,2,0,2,1282.85,USD
462251429-X,jod,2,1,2,0,1007.06,JOD
419993342-5,egypt,1,2,1,2,1091.66,Euro
465361351-6,egypt,0,2,2,2,987.34,JOD
548163254-3,jod,0,0,0,2,1304.38,$
243791024-7,Jordan,0,1,1,0,1442.41,usd
049895444-7,Kuwait,0,1,2,2,672.31,JOD
625395110-6,Kuwait,2,0,1,0,1466.19,usd
324337458-8,Egypt,2,2,0,1,1006.63,USD
604356035-6,Jordan,1,0,1,2,1360.66,Euro
398204874-5,JOD,0,1,1,1,1328.33,USD
355046120-8,JOD,0,1,2,1,1261.07,euro
398989060-3,egypt,1,1,0,1,1123.12,Euro
333775375-2,jod,2,0,1,2,926.55,usd
172992199-X,Egypt,1,0,1,2,1120.13,Euro
500701687-X,Kuwait,2,0,0,1,1035.70,$
886173981-4,egypt,2,2,2,0,1241.15,$
815596470-1,JOD,0,0,0,0,1210.60,usd
423698001-0,Kuwait,0,2,0,0,1348.83,$
557105909-5,egypt,0,0,1,0,840.57,euro
206909149-X,Jordan,0,0,0,2,810.24,euro
475369246-9,jod,0,2,0,2,992.78,euro
761942886-0,JOD,1,2,0,0,1015.61,usd
568176638-1,Jordan,1,2,1,1,1237.39,JOD
029995143-X,Kuwait,2,1,0,1,1049.73,euro
537413457-4,Egypt,0,0,1,1,1069.48,usd
224461912-5,JOD,0,2,2,0,1365.32,USD
508886427-2,Jordan,0,1,2,0,768.38,$
981039385-7,Jordan,1,2,1,0,623.21,euro
144789453-7,Kuwait,1,1,0,1,601.63,euro
640089402-0,Egypt,0,0,0,0,717.86,$
902299061-3,Kuwait,0,2,2,0,1041.75,USD
630452388-2,Kuwait,2,0,0,1,1445.37,euro
864265371-X,egypt,1,1,1,0,1235.32,$
683546085-7,JOD,1,1,2,0,630.16,$
416219951-5,jod,2,2,1,2,1304.05,usd
962680124-7,Jordan,0,2,0,2,1268.79,JOD
843587246-7,Jordan,0,2,2,2,1177.66,USD
579544113-9,Kuwait,2,0,0,2,615.65,$
783344939-3,Jordan,1,2,1,2,735.75,JOD
184312440-8,Kuwait,2,1,1,1,1069.64,JOD
682317790-X,jod,0,0,1,2,780.00,USD
243133115-6,egypt,2,2,0,1,1482.31,Euro
079810066-4,Kuwait,2,1,1,1,1249.35,$
987951113-1,jod,0,2,0,2,1429.78,usd
610227207-2,Egypt,0,0,2,2,1023.73,Euro
478904700-8,jod,1,0,2,0,1006.22,euro
344078300-6,jod,2,1,0,2,1237.89,euro
698841912-8,Kuwait,1,0,2,2,1032.48,JOD
723289454-6,Kuwait,0,1,0,0,1018.07,$
311818399-3,Jordan,0,2,0,0,1119.81,$
726075477-X,JOD,0,1,0,2,1023.46,$
937433305-8,JOD,2,0,1,1,850.94,JOD
065909872-5,Jordan,0,0,2,0,786.12,$
725638922-1,Jordan,0,2,0,2,649.42,euro
419032396-9,JOD,1,1,0,0,965.43,JOD
379942005-3,Kuwait,1,2,2,0,1339.06,JOD
659635348-6,jod,0,2,0,2,611.80,USD
451361923-6,JOD,0,2,1,1,931.81,usd
990301695-6,Jordan,0,1,2,0,1377.13,JOD
118084772-5,JOD,2,1,0,0,1161.92,JOD
699893661-3,Jordan,1,2,2,1,1462.02,usd
815583997-4,Egypt,2,1,2,0,787.59,euro
122759552-2,JOD,0,0,0,1,839.59,$
575900665-7,JOD,2,2,0,2,1270.97,USD
144821621-4,Egypt,0,1,0,1,1362.34,USD
184406005-5,Kuwait,1,2,2,1,919.78,USD
359632783-0,egypt,2,1,1,1,1470.17,JOD
992064848-5,Jordan,0,2,0,0,832.57,Euro
359943797-1,egypt,0,0,1,1,1443.85,$
792627537-9,Kuwait,0,0,0,1,711.69,$
328854904-2,Jordan,2,1,2,0,609.78,Euro
343136994-4,JOD,1,1,2,1,1252.61,USD
039460728-7,Egypt,1,1,1,0,1226.73,euro
738801346-6,JOD,2,2,1,2,634.57,USD
695641740-5,Kuwait,0,2,2,0,650.40,Euro
035207718-2,Kuwait,2,2,0,0,1130.70,usd
818737872-7,Egypt,2,0,1,2,1116.45,Euro
218305100-0,Kuwait,0,0,0,2,637.20,usd
889190884-3,egypt,2,0,2,1,1342.31,euro
551753778-2,Jordan,1,1,2,0,1191.15,Euro
678064474-9,egypt,2,2,1,1,1301.56,usd
049899690-5,Egypt,2,1,2,1,983.44,USD
043931579-4,JOD,1,1,1,2,916.79,usd
995994728-9,egypt,0,1,0,2,1318.66,usd
448940428-X,Egypt,0,0,2,0,995.95,$
719703986-X,Kuwait,1,2,2,0,717.00,Euro
330298033-7,JOD,1,2,0,2,672.62,JOD
139524842-7,JOD,1,0,0,2,772.97,JOD
740698775-7,Kuwait,1,0,0,1,1226.37,JOD
108894000-5,JOD,2,2,1,2,661.60,Euro
882240882-9,Kuwait,1,2,0,2,1294.44,JOD
466230977-8,egypt,1,1,0,1,1070.43,usd
524337563-2,egypt,0,2,0,1,1116.13,$
333806039-4,jod,0,0,0,1,922.45,JOD
050227784-X,Kuwait,1,2,0,0,1301.51,$
927718725-5,Jordan,2,1,0,0,908.85,$
981982250-5,egypt,0,1,1,2,1186.10,USD
695282048-5,egypt,1,0,1,1,1298.24,Euro
353712920-3,jod,0,0,0,2,1017.79,$
868289408-4,JOD,0,2,0,1,1332.63,Euro
586112770-0,Jordan,0,1,2,0,1352.33,JOD
801113600-3,,1,0,,1,1112.37,$
963425042-4,egypt,0,2,1,1,1490.63,JOD
748203233-9,Jordan,1,2,2,0,824.28,$
823937148-5,Jordan,0,1,1,1,1328.60,$
793042188-0,JOD,0,1,1,2,847.12,JOD
228849744-0,Jordan,1,1,1,0,845.42,usd
630424649-8,Kuwait,0,0,2,2,833.09,$
347613260-9,jod,0,1,2,2,1346.52,euro
778088321-3,egypt,1,0,0,2,1485.64,euro
665156321-1,egypt,1,1,0,1,1192.90,euro
009327155-7,Kuwait,1,1,0,1,629.16,Euro
168517072-2,Egypt,2,2,1,1,971.03,$
292671286-3,Jordan,1,2,0,0,808.14,Euro
514125950-1,Jordan,0,2,1,2,1126.85,usd
687725514-3,Egypt,0,0,1,2,927.88,$
343622028-0,Jordan,0,1,1,0,712.58,euro
340942151-3,egypt,2,0,0,1,1133.06,Euro
784481449-7,Kuwait,2,0,0,0,930.60,JOD
873655477-4,egypt,0,2,0,2,651.20,JOD
780984534-9,egypt,0,2,0,1,914.13,euro
812323800-2,egypt,2,1,2,0,1097.18,JOD
111953186-1,jod,2,0,2,0,617.74,JOD
816239863-5,JOD,2,0,0,1,907.55,JOD
461381739-0,Egypt,1,1,0,0,988.54,usd
321984924-5,jod,1,1,2,1,1120.65,USD
868133800-5,Egypt,0,0,2,2,939.22,USD
276854459-0,JOD,1,2,2,1,1378.40,Euro
606919138-2,Egypt,0,0,2,0,1472.99,Euro
552491179-1,egypt,1,2,0,1,1040.78,usd
799779142-6,egypt,2,2,1,0,1063.55,euro
124979910-4,jod,1,2,1,0,1306.44,$
213046218-9,Kuwait,2,0,0,0,1399.23,euro
804453353-2,Jordan,1,1,2,1,743.71,Euro
109889557-6,Jordan,2,0,2,1,856.53,euro
144494080-5,Jordan,1,0,0,2,840.90,$
572657124-X,jod,0,0,2,1,770.58,euro
211296972-2,JOD,1,0,1,1,1402.70,JOD
678736900-X,Kuwait,2,1,1,0,1320.76,JOD
740021468-3,egypt,0,1,2,0,1170.65,USD
300964222-9,Egypt,0,2,0,0,847.94,euro
605888979-0,Jordan,0,1,1,1,806.27,Euro
319498841-7,Egypt,2,0,2,2,1089.94,USD
019383594-0,JOD,2,2,1,0,853.46,euro
870064175-8,Kuwait,0,0,2,1,640.78,usd
403937606-4,JOD,0,0,1,2,1193.28,$
179106368-3,Jordan,2,1,2,1,1173.98,usd
853767938-0,JOD,0,0,2,0,741.34,euro
606465950-5,Jordan,1,1,2,2,1415.96,usd
714325781-8,Egypt,1,2,2,2,1311.33,$
132129909-5,egypt,2,2,2,1,668.11,euro
682605464-7,JOD,0,1,1,2,1408.68,Euro
624531881-5,egypt,1,0,0,0,793.00,USD
658016604-5,JOD,0,0,1,1,1425.79,usd
856362612-4,Kuwait,2,1,1,0,840.56,JOD
445640576-7,,1,0,,1,880.60,USD
347383400-9,Jordan,1,1,0,0,1256.61,$
590767912-3,jod,2,1,2,1,1340.69,usd
957144884-2,Egypt,2,2,0,0,1421.22,$
924571056-4,Kuwait,0,1,0,0,1472.22,Euro
630314251-6,egypt,2,2,0,1,1199.42,JOD
622384467-0,JOD,0,2,2,0,1450.82,euro
551716208-8,JOD,0,0,2,0,705.27,usd
670583229-0,Jordan,2,2,1,2,645.97,Euro
625683758-4,Jordan,1,1,0,0,767.75,USD
188885979-2,Egypt,1,2,2,1,1162.47,euro
945977679-5,JOD,0,2,2,2,1494.50,usd
875784883-1,egypt,1,2,0,1,1395.14,USD
453852736-X,egypt,2,1,2,0,622.69,USD
976543657-2,egypt,0,2,0,2,761.69,Euro
153780610-6,JOD,2,0,0,0,650.27,$
093030884-0,JOD,1,1,1,0,1332.42,JOD
215628921-2,Egypt,2,1,1,1,952.17,usd
813265442-0,Egypt,2,2,0,2,887.91,JOD
944043957-2,Egypt,0,1,1,0,745.75,JOD
072630659-2,egypt,2,1,1,2,681.46,JOD
830894032-3,JOD,0,2,0,2,857.62,Euro
965561953-2,Jordan,0,2,1,2,1000.26,USD
969513328-2,Jordan,0,2,1,2,798.83,$
427496611-9,,0,1,,2,630.85,usd
920824964-6,Egypt,1,2,0,2,811.71,usd
291516850-4,jod,1,2,2,2,1388.11,USD
261584834-8,egypt,1,1,1,1,1411.02,usd
513763294-5,Egypt,0,2,1,2,1069.96,euro
501975213-4,Kuwait,2,1,0,1,609.46,JOD
410790588-8,Jordan,2,0,2,1,1172.97,JOD
635577129-8,JOD,0,2,2,0,1476.20,Euro
879430852-7,JOD,2,1,0,2,756.83,Euro
859370515-4,jod,2,1,1,2,1242.24,Euro
887981507-5,egypt,2,1,2,2,860.95,usd
910886513-2,egypt,2,1,2,1,947.81,euro
706729722-2,JOD,0,1,2,1,639.77,usd
511180934-1,Jordan,2,2,0,2,1340.98,USD
616828602-0,JOD,2,2,1,0,745.87,$
744813156-7,JOD,1,2,1,1,1328.52,usd
707482583-2,Egypt,0,1,0,1,1173.76,JOD
480697688-1,JOD,1,1,1,1,945.92,USD
417164259-0,Kuwait,2,0,0,2,877.73,JOD
125555207-7,JOD,1,2,0,0,866.75,Euro
058539561-6,,0,2,,0,1083.60,Euro
392900868-8,jod,1,1,1,1,996.47,Euro
909220445-5,JOD,2,2,1,0,868.21,JOD
944476793-0,Kuwait,0,1,2,1,870.08,JOD
325541130-0,Egypt,0,2,1,1,1266.55,Euro
884456394-0,Jordan,1,0,1,0,759.73,usd
264891856-6,jod,0,2,2,0,1357.92,USD
869476998-0,egypt,0,0,2,2,843.46,usd
927372966-5,jod,1,0,2,1,825.01,$
113611136-0,jod,2,2,0,0,925.32,usd
640774281-1,egypt,2,1,0,0,1004.44,$
402422550-2,,0,1,,0,758.34,USD
469363628-2,Egypt,1,0,1,0,846.81,usd
420483811-1,JOD,1,2,0,1,966.36,JOD
242309998-3,JOD,0,0,0,2,1332.32,USD
663831400-9,Kuwait,2,2,0,0,1130.60,Euro
405951566-3,Kuwait,1,2,1,1,729.26,euro
088695472-X,JOD,2,1,2,2,619.71,USD
536331649-8,Egypt,0,0,1,1,981.16,Euro
555027923-1,JOD,2,1,0,1,1384.81,$
325412990-3,egypt,2,2,0,2,867.28,$
646501640-0,Kuwait,2,0,0,2,1172.00,euro
887936305-0,JOD,2,2,1,0,1182.90,$
076617700-9,egypt,0,0,0,1,743.37,USD
338597041-5,jod,0,1,1,1,1213.40,euro
327101026-9,Egypt,2,1,1,0,1092.36,JOD
406602346-0,JOD,1,1,1,0,1134.75,USD
203805711-7,Kuwait,2,1,1,1,1099.98,USD
848381049-2,Egypt,2,2,2,0,1046.28,usd
252582573-X,egypt,2,2,2,0,780.67,USD
284284324-X,Egypt,1,1,1,1,1292.87,JOD
624208970-X,JOD,2,2,2,0,652.43,$
219986073-6,Jordan,2,2,2,2,1267.48,$
097977988-X,Jordan,0,0,1,0,1441.65,USD
944774556-3,egypt,0,1,2,0,1083.79,JOD
360305276-5,Egypt,0,0,0,2,1058.62,$
868328995-8,Egypt,1,2,0,2,915.22,$
355711894-0,Kuwait,2,2,1,0,1041.68,$
977057367-1,Kuwait,1,0,0,0,1358.75,USD
936921982-X,jod,2,0,0,0,1231.91,usd
189534919-2,Kuwait,0,2,0,1,1076.19,euro
577258931-8,Kuwait,2,2,0,1,1004.50,$
961624091-9,Egypt,1,1,2,0,707.91,Euro
532941412-1,jod,0,0,2,0,918.41,JOD
131794554-9,Kuwait,0,1,0,2,1400.23,euro
128511727-1,,2,0,,2,1238.23,JOD
377309122-2,JOD,0,0,2,1,941.04,JOD
517251382-5,Kuwait,1,1,0,1,1047.25,USD
149056455-1,Jordan,1,0,0,0,1170.48,euro
581313453-0,JOD,0,0,2,1,1283.12,euro
318288873-0,jod,1,2,1,0,930.28,JOD
565353483-8,jod,0,2,0,0,1439.23,usd
233095105-1,JOD,0,2,1,0,609.38,JOD
622196030-4,egypt,1,0,0,2,1370.06,euro
295654924-3,Egypt,0,2,0,1,1039.91,$
606247997-6,jod,1,0,1,1,661.41,Euro
603951154-0,Kuwait,2,0,2,2,903.01,USD
411058233-4,Jordan,2,1,1,1,852.42,USD
941801620-6,Jordan,2,2,0,1,670.71,JOD
413136209-0,egypt,1,0,2,1,788.98,$
188632379-8,egypt,2,0,2,1,602.29,USD
491174203-8,Kuwait,2,1,0,1,1352.39,usd
164854888-1,Jordan,2,0,0,0,727.30,$
278374811-8,Egypt,2,2,0,1,669.36,USD
981689107-7,jod,0,2,0,0,745.66,euro
688945023-X,egypt,0,2,1,0,607.31,$
610478212-4,JOD,1,0,1,2,984.31,usd
105652528-2,JOD,2,0,0,2,1172.45,Euro
563077001-2,JOD,1,0,0,1,1121.37,USD
604594704-5,Kuwait,2,1,1,2,1435.49,euro
593382293-0,Egypt,2,1,1,1,833.73,euro
678499973-8,JOD,0,2,2,1,730.11,usd
333899582-2,Jordan,2,1,1,1,768.75,euro
354258262-X,JOD,2,1,0,0,649.84,usd
966396251-8,Egypt,1,1,1,1,1277.63,usd
689153772-X,Jordan,0,2,2,0,1307.75,USD
069445193-2,egypt,0,1,0,2,1222.70,Euro
976647266-1,JOD,0,2,0,0,1427.85,Euro
496066344-8,jod,1,0,1,2,1405.73,euro
742136818-3,egypt,2,0,1,1,1086.27,USD
771997138-8,Jordan,1,0,0,2,1073.69,Euro
191884137-3,Kuwait,1,1,1,1,1432.46,usd
886555558-0,Kuwait,0,2,0,2,1447.00,$
287395670-4,JOD,2,0,2,1,1062.94,usd
262647290-5,Kuwait,2,1,0,0,1265.76,euro
021751199-6,egypt,0,2,1,1,1402.80,usd
440777615-3,Jordan,1,2,2,2,795.49,$
260348011-1,jod,0,0,1,1,1177.24,Euro
005915223-0,Egypt,1,1,2,0,1264.35,euro
608644795-0,Egypt,1,1,2,0,1164.74,euro
681755429-2,Egypt,2,0,1,0,1495.99,euro
181842415-0,egypt,0,1,0,1,979.98,JOD
585172548-6,jod,0,0,0,2,1179.26,usd
039968683-5,Egypt,1,2,2,0,844.35,euro
153552781-1,JOD,1,1,1,2,846.42,JOD
438677478-5,JOD,0,2,2,1,1405.58,USD
352765183-7,Kuwait,2,2,0,0,1478.81,usd
142574621-7,JOD,2,2,1,2,869.45,$
598894723-9,Jordan,2,0,0,0,695.11,euro
677329137-2,Egypt,1,1,0,2,1202.64,euro
601336692-6,Egypt,1,0,1,1,1486.38,JOD
912908391-5,Jordan,2,0,2,2,646.09,USD
588164394-1,egypt,1,0,0,2,965.38,$
777342495-0,Kuwait,1,1,0,1,1027.77,$
438474911-2,Jordan,2,1,0,1,912.32,$
595621954-8,Jordan,0,2,2,1,1423.23,euro
770550583-5,egypt,2,1,0,1,940.36,$
506274477-6,jod,0,2,2,0,908.41,Euro
568708956-X,Kuwait,0,0,2,1,811.58,USD
473159818-4,egypt,2,0,1,0,1250.77,usd
128674866-6,egypt,0,2,0,2,780.80,$
115325778-5,Jordan,2,0,1,2,905.48,$
000962051-6,Egypt,0,1,2,0,780.94,Euro
160000239-0,Jordan,1,0,0,1,1432.41,usd
532061138-2,Egypt,2,1,0,0,841.20,USD
829858190-3,Kuwait,0,2,1,0,1384.81,USD
014916897-7,egypt,2,0,1,0,1305.20,Euro
918986546-4,JOD,0,0,2,0,1258.18,usd
384793672-7,Kuwait,1,0,1,2,1043.09,Euro
432830677-4,Egypt,1,1,1,1,1299.78,Euro
581444541-6,Kuwait,0,0,1,0,1380.51,$
902254905-4,Egypt,1,1,0,1,1103.39,usd
609836661-6,Kuwait,2,0,2,1,1392.46,USD
417283037-4,Egypt,1,1,2,1,1445.84,USD
977120282-0,egypt,2,1,0,1,861.51,Euro
337901258-0,Egypt,0,2,2,2,630.18,USD
008311968-X,JOD,1,0,0,1,684.52,JOD
601519899-0,Jordan,0,1,1,2,1301.39,JOD
503880277-X,jod,1,0,1,1,1176.18,euro
944546962-3,egypt,2,1,0,1,1327.84,euro
901530737-7,Kuwait,0,2,2,2,931.86,$
805283328-0,JOD,1,2,2,1,1024.74,USD
495931463-X,Jordan,0,2,2,0,1070.14,$
829459675-2,Egypt,0,1,1,1,1365.47,usd
541441464-5,jod,1,1,1,2,1445.09,euro
123896872-4,egypt,0,0,2,2,935.07,JOD
838039932-3,Kuwait,1,1,2,2,1390.72,JOD
004379757-1,jod,1,2,2,0,965.98,JOD
970794763-2,Jordan,2,1,1,1,1329.44,euro
103053342-3,JOD,0,2,1,1,1136.61,euro
386883989-5,Egypt,1,0,0,2,1050.81,JOD
885688643-X,Jordan,0,1,2,0,1079.88,JOD
422799109-9,Jordan,1,2,1,0,1493.90,USD
339614235-7,egypt,1,2,0,2,816.66,USD
971507619-X,Egypt,2,0,2,1,880.20,Euro
574661571-4,egypt,2,1,1,2,1038.19,USD
929579982-8,,0,1,,0,1337.15,Euro
813164276-3,Kuwait,0,2,2,2,930.49,JOD
361819421-8,Jordan,0,1,1,2,1467.32,$
477337955-3,jod,0,0,2,1,1426.68,$
731249292-4,jod,2,1,1,1,1374.37,usd
645637354-9,egypt,2,2,0,2,667.97,euro
106511376-5,Jordan,2,1,1,0,1179.27,Euro
107357624-8,Jordan,2,0,0,1,770.48,Euro
536475309-3,Egypt,0,1,2,0,960.87,usd
342292987-8,Egypt,2,2,1,2,1156.45,Euro
988285183-5,JOD,1,2,2,0,1285.24,euro
954173045-0,Kuwait,2,1,0,0,1312.99,euro
040077761-4,Kuwait,1,2,2,2,951.63,USD
256104534-X,jod,0,1,0,0,862.69,euro
089530469-4,Jordan,0,2,0,2,1147.39,Euro
918517564-1,Jordan,2,0,1,1,710.04,usd
016343519-7,Egypt,0,2,0,0,644.24,JOD
903619879-8,egypt,0,1,2,2,739.74,euro
431635279-2,egypt,1,2,1,0,997.35,Euro
134563566-4,Jordan,0,0,0,0,806.86,JOD
355393072-1,jod,0,1,2,2,1159.02,usd
089235148-9,Egypt,2,0,2,2,1293.69,Euro
379618191-0,Kuwait,2,2,2,2,864.12,Euro
699439305-4,egypt,0,1,0,2,736.34,Euro
688704084-0,Kuwait,0,2,0,2,972.82,JOD
010738218-0,JOD,0,2,2,0,1213.40,JOD
322085818-X,egypt,2,2,1,0,835.03,euro
932412301-7,JOD,1,2,0,0,611.09,usd
431398158-6,JOD,0,0,0,2,619.53,usd
774754934-2,JOD,0,1,2,1,1325.30,JOD
535816092-2,Egypt,1,0,0,0,811.16,JOD
541679506-9,Jordan,1,0,2,1,1251.18,JOD
437307204-3,egypt,1,1,0,0,1029.42,USD
119506574-4,Egypt,2,2,0,1,1010.07,USD
753800869-1,Kuwait,0,1,1,2,964.32,JOD
145058466-7,egypt,0,2,2,2,1179.96,euro
884707182-8,Kuwait,1,0,1,0,1360.42,USD
464984121-6,Jordan,0,0,2,2,1114.21,usd
884530947-9,Egypt,1,2,2,0,1409.90,euro
822481568-4,jod,0,1,1,0,905.59,$
712354131-6,Kuwait,2,2,0,2,780.65,usd
924793447-8,egypt,0,0,0,2,1344.72,euro
958094567-5,egypt,0,1,1,0,967.07,JOD
987177589-X,jod,2,2,0,0,1226.75,JOD
543473455-6,Jordan,1,2,2,2,908.36,$
027330388-0,jod,0,1,0,0,1221.34,$
329763506-1,Jordan,0,2,0,2,1174.67,euro
350228657-4,JOD,2,2,2,1,1084.10,euro
393691742-6,egypt,0,2,0,2,780.44,JOD
601942304-2,JOD,1,2,0,2,1190.75,Euro
399578026-1,jod,1,2,1,1,870.83,USD
796097545-0,Egypt,1,0,0,1,1110.19,usd
620054966-4,Kuwait,0,0,0,2,934.42,usd
187744865-6,Jordan,0,1,0,2,682.32,euro
600016206-5,Jordan,1,1,1,2,1260.68,usd
895096525-9,Kuwait,1,1,2,0,1381.60,$
822494646-0,jod,2,2,0,1,760.29,euro
137182869-5,Egypt,1,2,1,2,640.10,euro
776318395-0,Egypt,2,1,1,0,693.85,$
773146007-X,Kuwait,1,0,2,2,846.57,Euro
744155386-5,egypt,1,2,0,2,810.78,Euro
085858773-4,Egypt,0,2,2,0,1499.16,usd
704312199-X,Egypt,2,0,0,0,1222.12,USD
600887523-0,Kuwait,1,2,2,1,815.67,euro
150176833-6,Jordan,0,1,1,1,1184.67,usd
035371608-1,egypt,0,1,0,2,688.13,euro
450560517-5,JOD,2,0,2,2,1275.75,$
027858675-9,Jordan,0,1,0,2,994.84,euro
527226449-5,egypt,1,0,0,0,939.84,JOD
260827746-2,Egypt,2,0,1,0,770.90,$
627631833-7,Kuwait,2,0,1,2,899.24,euro
282215124-5,egypt,1,0,0,2,1294.52,Euro
590944352-6,egypt,1,2,2,0,1385.15,euro
427362267-X,Jordan,2,2,0,0,1276.46,Euro
271671703-6,jod,1,1,2,2,715.35,Euro
520524859-9,Kuwait,0,2,0,2,1121.77,$
427532912-0,Kuwait,2,2,0,2,1426.30,USD
621359216-4,egypt,2,0,2,1,1442.09,Euro
482473231-X,egypt,1,0,0,0,1476.75,euro
006364474-6,Kuwait,0,1,0,2,1040.87,euro
038642502-7,egypt,0,1,2,1,1308.68,JOD
435332345-8,JOD,2,2,2,2,853.71,usd
047417006-3,Jordan,0,0,1,1,1133.57,usd
447146197-4,Kuwait,1,2,0,0,1370.55,USD
645060121-3,JOD,1,0,0,2,701.89,Euro
929050785-3,Egypt,1,0,2,2,931.59,USD
188438507-9,Jordan,2,0,1,2,1486.05,USD
637840378-3,JOD,1,1,0,2,807.08,$
551208214-0,JOD,2,1,0,2,1265.12,Euro
504418796-8,JOD,2,0,2,0,935.42,euro
288347822-8,Jordan,1,0,2,0,1206.55,usd
414239370-7,Kuwait,0,1,2,0,1150.76,Euro
658646136-7,JOD,1,2,1,2,684.94,Euro
175452808-2,egypt,2,2,1,1,1354.65,Euro
