ProjectID,Programming Language,Employee1,Employee2,Employee3,Employee4,Award,Currency
935733718-0,Python,1,2,1,1,194.95,JOD
170838320-4,JAVA,1,0,2,1,113.97,USD
087464929-3,java,1,1,0,2,380.90,Euro
817284310-0,R,1,1,0,0,234.80,JOD
132833891-6,PYTHON,1,1,0,2,461.19,USD
099916150-4,JAVA,2,1,2,0,100.49,Euro
069781944-2,C++,1,2,2,2,287.36,JOD
833677750-4,PYTHON,1,0,2,0,216.82,USD
893092368-2,JAVA,2,1,1,0,147.90,JOD
841169669-3,Python,2,0,2,2,442.00,Euro
588578349-7,java,0,0,0,0,487.41,JOD
507313546-6,R,2,1,1,0,497.12,Euro
909116037-3,c++,1,1,0,1,491.69,JOD
897230133-7,C++,2,1,1,1,458.73,Euro
625815915-X,R,2,2,0,1,190.20,Euro
522858201-0,C++,2,0,1,0,409.44,JOD
477547210-0,,0,0,2,0,105.11,USD
880381039-0,PYTHON,1,1,2,2,494.38,USD
680441055-6,PYTHON,0,0,2,0,205.48,Euro
502018374-1,Python,1,0,0,1,474.19,USD
560643325-7,PYTHON,1,2,1,2,470.86,USD
565806255-1,C++,2,1,0,0,192.79,USD
422091272-X,java,0,2,0,1,344.70,JOD
057365540-5,R,2,2,2,0,264.70,USD
199025781-X,java,2,0,0,0,102.51,USD
141874192-2,JAVA,0,0,0,2,460.85,Euro
176610316-2,c++,2,1,0,1,334.45,USD
884553613-0,,1,2,2,0,115.21,USD
814649014-X,Python,1,1,0,0,375.93,JOD
684957007-2,PYTHON,1,1,1,2,138.39,JOD
758231832-3,JAVA,1,1,0,1,224.06,USD
232123056-8,Python,0,,1,2,178.74,Euro
010858252-3,C++,1,2,2,1,417.78,Euro
440779469-0,C++,2,,2,0,386.04,USD
821978581-0,JAVA,1,0,0,2,207.55,USD
761151489-X,Python,1,0,0,1,176.98,Euro
834090205-9,Python,1,1,0,0,414.58,JOD
073385630-6,Python,0,0,2,2,305.82,JOD
294841516-0,c++,0,2,1,2,358.71,USD
501540755-6,R,0,2,0,1,273.29,JOD
252225416-2,c++,2,1,2,0,202.51,USD
251148322-X,PYTHON,1,1,2,2,256.06,JOD
337018368-4,R,0,2,0,1,419.77,JOD
815296435-2,PYTHON,0,0,0,1,247.53,USD
426265278-5,JAVA,0,1,0,0,324.48,JOD
259632096-7,JAVA,0,0,0,2,200.21,JOD
925625850-1,JAVA,1,1,2,1,321.30,Euro
116935293-6,java,2,0,1,2,405.17,Euro
332248531-5,Python,0,2,0,1,331.55,JOD
949822596-6,Python,0,2,1,0,283.77,Euro
955205357-9,PYTHON,2,0,2,2,461.40,Euro
977080082-1,R,0,1,1,2,486.54,JOD
004869076-7,R,0,1,0,2,408.28,USD
501598529-0,PYTHON,1,2,1,1,189.87,USD
048867443-3,c++,2,1,2,2,309.27,JOD
796762844-6,R,1,2,2,0,200.46,JOD
387807329-1,c++,0,0,2,0,443.41,Euro
139595801-7,java,1,1,0,2,482.07,JOD
526737721-X,java,2,1,0,1,268.18,JOD
736946034-7,c++,2,0,0,0,313.14,Euro
974885059-5,R,0,2,0,2,131.95,JOD
395097542-X,R,1,2,2,2,109.48,USD
358519054-5,C++,2,2,1,2,459.96,JOD
100202282-7,PYTHON,0,1,2,1,237.14,USD
960010263-5,JAVA,2,2,1,1,272.01,JOD
544170366-0,JAVA,2,2,0,2,499.48,JOD
426384636-2,c++,2,1,2,2,270.33,Euro
911699305-5,JAVA,2,0,2,2,391.86,USD
509686874-5,JAVA,1,1,1,1,258.68,USD
795332426-1,R,0,2,2,1,316.69,JOD
402082986-1,JAVA,0,0,1,0,101.39,Euro
568670317-5,R,1,0,0,0,150.76,Euro
050015883-5,c++,2,2,2,2,367.47,USD
003117494-9,Python,2,2,2,1,308.56,JOD
586807159-X,Python,0,2,0,2,292.47,JOD
134071856-1,java,2,2,0,1,154.16,Euro
979504106-1,,2,1,2,2,287.23,JOD
908006934-5,PYTHON,2,0,0,2,421.44,Euro
794462260-3,C++,2,0,0,2,242.60,USD
584424106-1,java,2,1,1,2,329.84,USD
899286194-X,c++,0,,2,1,467.87,JOD
085151556-8,PYTHON,1,2,1,1,204.36,USD
353101452-8,Python,1,1,1,0,352.08,USD
833940305-2,Python,2,1,2,2,191.04,JOD
268910720-1,JAVA,2,1,2,1,347.46,USD
968518727-4,Python,2,0,1,0,274.20,USD
845264987-8,PYTHON,1,1,2,2,311.36,Euro
372332983-7,c++,1,1,0,0,471.50,JOD
820336269-9,Python,2,0,1,2,419.90,USD
658744748-1,C++,1,1,0,2,416.74,Euro
788371176-8,java,2,2,1,2,233.75,Euro
586504453-2,R,2,2,1,0,246.47,USD
873075929-3,java,1,2,1,0,367.85,JOD
480909084-1,R,0,0,0,1,324.45,USD
710160150-2,JAVA,0,1,1,0,116.28,JOD
700295317-6,c++,2,0,2,1,429.70,USD
305142731-4,c++,0,1,1,1,145.03,Euro
605952837-6,JAVA,1,,2,1,298.76,JOD
390719287-7,java,2,1,1,0,308.76,USD
188761999-2,,1,0,2,1,180.96,JOD
847192678-4,C++,0,0,1,2,179.22,USD
985934725-5,JAVA,1,2,0,0,257.63,USD
924353279-0,R,2,0,1,0,386.64,Euro
767226482-6,JAVA,0,0,0,0,377.75,Euro
591058309-3,JAVA,2,2,0,2,443.97,JOD
587795268-4,JAVA,1,0,2,2,213.92,JOD
028565001-7,PYTHON,2,1,2,2,282.52,Euro
454278923-3,PYTHON,0,0,0,0,490.83,Euro
821873534-8,PYTHON,0,1,2,0,219.48,Euro
503353033-X,R,1,0,2,1,109.79,JOD
186525859-8,Python,1,1,2,1,310.56,USD
713808287-8,JAVA,2,1,0,1,224.08,Euro
427341450-3,java,2,0,0,2,457.21,JOD
826406661-5,java,0,1,2,0,442.98,USD
361312941-8,R,0,0,0,1,221.70,Euro
100716679-7,java,0,0,0,0,283.06,JOD
454500963-8,JAVA,2,2,2,0,158.48,Euro
962796371-2,PYTHON,1,1,1,0,115.26,JOD
306049503-3,JAVA,2,1,0,2,490.22,USD
972802519-X,JAVA,1,0,2,2,440.07,Euro
042595962-7,PYTHON,0,0,2,1,444.35,JOD
375693685-6,R,1,,1,1,392.20,Euro
052216390-4,c++,1,2,1,0,477.58,JOD
804666873-7,PYTHON,2,0,2,1,440.76,Euro
501442899-1,c++,0,0,1,1,475.79,JOD
395627949-2,java,1,2,0,2,167.93,Euro
159274673-X,R,0,0,0,2,120.81,JOD
335807511-7,C++,2,1,0,2,318.88,JOD
005361626-X,JAVA,1,0,2,0,133.80,Euro
694380180-5,R,1,0,0,1,430.74,Euro
516570548-X,PYTHON,0,0,1,0,155.44,JOD
940667573-0,java,2,0,0,0,407.24,USD
160658676-9,c++,2,2,0,1,311.84,JOD
021293718-9,C++,1,0,2,2,448.23,JOD
147822991-8,R,1,2,0,2,487.74,USD
960278092-4,C++,0,1,1,1,486.17,Euro
091734672-6,PYTHON,1,0,1,2,340.35,USD
391609411-4,c++,2,0,2,0,337.83,Euro
714680632-4,java,0,2,0,0,125.42,Euro
504435487-2,JAVA,2,2,0,1,456.12,JOD
793379032-1,PYTHON,0,1,0,2,339.20,Euro
896589452-2,R,0,0,1,2,429.79,Euro
433890807-6,c++,0,2,0,1,406.23,USD
203487318-1,c++,0,0,0,0,160.78,Euro
529189184-X,PYTHON,1,2,2,0,210.56,Euro
436702196-3,java,0,1,2,1,185.66,Euro
031541230-5,JAVA,1,0,1,0,298.48,USD
554142769-X,java,0,0,2,1,486.67,USD
535640360-7,Python,0,0,2,0,137.27,Euro
887287946-9,java,2,1,1,0,458.06,Euro
266872916-5,JAVA,2,0,2,1,114.06,USD
387004289-3,Python,2,2,0,2,354.93,USD
283230381-1,JAVA,2,1,0,0,152.28,USD
965706306-X,java,1,1,1,2,376.29,JOD
465656688-8,Python,2,2,0,1,395.64,JOD
026108628-6,java,2,1,0,2,103.45,Euro
186709956-X,java,2,0,2,2,385.40,JOD
526281153-1,JAVA,1,1,2,1,372.01,Euro
330390097-3,c++,2,1,1,2,478.06,USD
389582933-1,R,1,1,1,0,213.76,Euro
453930743-6,C++,2,2,1,1,452.80,USD
642611216-X,JAVA,1,0,0,1,331.73,USD
123810795-8,,1,2,2,2,289.43,USD
210515202-3,JAVA,1,0,1,0,393.33,JOD
929483539-1,java,2,1,1,2,463.43,Euro
465992907-8,java,2,1,1,2,285.04,Euro
353050894-2,R,1,0,1,1,243.04,Euro
695181526-7,JAVA,1,1,2,2,309.59,Euro
723564618-7,R,2,2,2,0,485.03,Euro
261053323-3,Python,1,0,0,2,474.09,Euro
800143092-8,Python,1,2,1,0,444.75,Euro
304548759-9,PYTHON,0,2,0,0,134.28,USD
601403597-4,JAVA,2,2,2,1,420.87,JOD
505657293-4,java,2,1,0,2,405.99,JOD
027245413-3,Python,0,0,1,2,287.51,JOD
099437087-3,JAVA,1,0,0,2,234.64,USD
124843539-7,R,1,,1,1,351.84,Euro
253623755-9,JAVA,1,1,0,2,362.42,JOD
848139697-4,JAVA,1,0,0,1,233.41,Euro
434260576-7,c++,0,1,0,0,269.84,Euro
854071404-3,PYTHON,0,2,1,2,202.92,Euro
692146375-3,Python,2,2,0,0,115.26,Euro
092671250-0,C++,0,0,2,0,167.26,Euro
274515680-2,c++,1,2,1,1,402.45,Euro
317114828-5,c++,2,0,1,2,264.28,USD
209763891-0,JAVA,2,0,1,2,261.27,USD
753553308-6,C++,0,0,0,0,351.93,USD
871930686-5,java,1,0,0,0,269.87,Euro
392561725-6,Python,0,0,0,0,183.99,USD
517690402-0,java,1,2,1,0,393.07,JOD
411632561-9,C++,0,2,1,2,104.91,USD
914365332-4,R,0,1,0,1,245.26,USD
459995111-0,R,0,2,2,2,327.30,JOD
567139130-X,java,1,0,0,2,449.29,USD
936654564-5,C++,0,2,1,0,160.57,Euro
807923339-X,java,1,2,0,2,116.24,Euro
032296366-4,Python,2,2,2,2,245.15,USD
591203768-1,PYTHON,1,2,1,1,317.90,Euro
434884557-3,JAVA,1,2,0,0,136.69,USD
940189799-9,Python,0,1,1,0,121.10,USD
610616485-1,C++,0,0,1,1,218.86,JOD
046175293-X,PYTHON,1,2,2,1,211.47,Euro
864342355-6,java,1,0,2,0,232.28,Euro
977283415-4,JAVA,1,1,1,0,352.75,USD
071039255-9,c++,1,0,2,0,362.36,JOD
429216563-7,JAVA,1,0,0,2,214.78,Euro
191695032-9,C++,2,1,2,2,258.58,USD
882083308-5,c++,1,2,0,0,396.14,Euro
666902775-3,R,1,1,2,2,477.81,Euro
352631123-4,java,0,1,2,0,158.12,Euro
368522176-0,PYTHON,1,1,0,1,164.21,USD
337951810-7,R,2,1,1,0,173.22,USD
303167375-1,JAVA,2,0,1,0,110.40,USD
983617055-3,R,1,2,1,1,373.55,USD
010264919-7,C++,2,2,2,0,194.73,Euro
832105546-X,C++,0,1,2,1,441.50,USD
200391816-7,C++,0,0,2,0,230.57,Euro
618082588-2,PYTHON,2,0,1,2,107.23,USD
679799548-5,Python,0,2,0,0,274.67,Euro
654147217-3,C++,1,0,0,2,304.53,USD
122967275-3,C++,1,2,1,0,175.61,USD
017655461-0,C++,1,1,2,2,409.52,USD
832362167-5,c++,2,0,1,1,307.89,JOD
260342726-1,java,1,0,2,1,403.97,USD
598608643-0,C++,1,2,1,2,114.49,JOD
675345214-1,java,0,2,0,1,236.28,USD
524556983-3,java,0,1,2,1,177.08,USD
100161443-7,JAVA,2,2,0,2,191.28,Euro
813826018-1,Python,2,0,2,0,437.11,JOD
004408487-0,PYTHON,1,0,1,1,281.11,Euro
900144270-6,java,2,2,0,0,367.31,JOD
304185450-3,JAVA,2,2,1,0,449.91,JOD
621055461-X,java,2,1,1,2,457.09,USD
343475407-5,C++,0,1,2,0,201.44,USD
068667352-2,Python,2,0,2,1,177.04,Euro
107588224-9,Python,1,1,1,1,310.01,JOD
920195537-5,c++,2,1,1,1,302.83,USD
238885822-4,C++,0,0,0,1,343.75,USD
747637993-4,java,0,2,0,0,407.85,Euro
093367810-X,c++,0,2,1,2,409.40,Euro
272437255-7,C++,1,0,0,1,373.13,Euro
993127488-3,Python,2,0,2,2,423.96,USD
276776689-1,PYTHON,0,2,1,0,269.43,JOD
678046712-X,Python,0,2,2,1,263.00,Euro
263817447-5,C++,1,0,2,0,490.76,Euro
183667475-9,c++,1,2,0,2,375.78,JOD
017207946-2,c++,2,2,2,2,277.56,JOD
356677313-1,java,2,1,0,2,179.56,USD
152473974-X,JAVA,1,2,2,0,255.11,JOD
898684196-7,java,2,0,2,2,110.78,USD
920450719-5,Python,2,0,1,0,386.87,Euro
332416553-9,PYTHON,0,0,1,2,405.90,Euro
182843929-0,PYTHON,0,2,2,2,284.87,Euro
247565897-5,PYTHON,1,1,0,1,423.76,USD
892995848-6,c++,2,2,2,0,468.21,Euro
889520269-4,JAVA,2,0,0,2,332.60,JOD
189914581-8,java,0,1,2,1,419.10,USD
091108364-2,,2,,2,2,111.48,JOD
600466490-1,Python,1,1,2,1,142.85,USD
934645193-9,java,1,2,1,0,357.39,JOD
566833762-6,C++,2,0,1,0,270.21,Euro
257001712-4,R,0,0,1,1,338.56,Euro
720183058-9,c++,1,1,0,1,299.38,JOD
657291184-5,Python,0,1,2,0,177.52,JOD
850396466-X,PYTHON,2,0,2,1,484.44,JOD
794331122-1,C++,1,0,1,1,104.37,JOD
556926690-9,JAVA,2,2,1,0,287.30,USD
853558144-8,PYTHON,1,1,1,2,208.65,USD
412776292-6,java,2,0,2,1,278.23,JOD
583674920-5,PYTHON,0,1,0,0,286.65,JOD
371839754-4,Python,1,2,1,2,350.18,Euro
043968123-5,c++,1,0,2,0,129.21,USD
598393919-X,java,0,1,0,2,357.02,USD
611758632-9,c++,1,0,1,2,169.94,JOD
149376017-3,c++,2,0,0,1,315.60,JOD
144870652-1,,1,2,2,1,482.69,JOD
033539103-6,c++,1,1,2,1,296.14,Euro
837236602-0,Python,1,1,0,1,292.65,Euro
836444706-8,c++,0,2,2,0,371.24,JOD
056310148-2,R,0,0,1,2,301.48,USD
663180801-4,PYTHON,1,0,1,1,378.98,Euro
000867513-9,PYTHON,2,1,2,2,245.96,JOD
606564765-9,R,0,0,0,1,142.54,USD
579586186-3,java,1,2,0,1,208.62,JOD
681440455-9,JAVA,0,2,1,0,400.33,JOD
071009486-8,c++,1,1,0,0,445.06,Euro
409162685-8,JAVA,1,0,0,0,123.48,Euro
913640208-7,Python,1,0,2,2,205.57,USD
705875081-5,C++,0,2,0,0,334.89,USD
369559045-9,R,0,1,2,1,330.13,USD
712610749-8,R,0,2,0,1,390.83,Euro
392243057-0,R,1,1,0,1,123.39,JOD
384232562-2,JAVA,1,1,0,1,430.09,Euro
757513115-9,R,0,2,1,0,462.02,USD
158477029-5,Python,2,0,2,1,480.84,USD
507146123-4,C++,0,2,1,2,193.91,Euro
076948466-2,java,1,2,1,2,327.37,JOD
080311767-1,R,2,2,1,2,417.77,Euro
743649818-5,PYTHON,2,2,1,0,440.89,USD
548543890-3,PYTHON,0,1,2,1,443.86,JOD
458930829-0,C++,1,,2,0,259.69,JOD
960599421-6,R,1,0,2,0,131.01,JOD
324094017-5,c++,1,2,2,0,203.42,JOD
142020111-5,C++,2,0,2,1,132.54,USD
825614401-7,Python,0,2,0,1,474.31,JOD
208764642-2,Python,2,0,0,2,211.96,Euro
044123694-4,R,0,1,1,0,481.22,USD
671886750-0,C++,0,1,0,0,488.02,Euro
809578514-8,R,1,2,1,0,115.23,USD
683973815-9,Python,2,1,0,2,271.15,USD
444793792-1,PYTHON,0,2,1,0,370.26,Euro
453471235-9,java,1,1,2,1,281.44,USD
440368272-3,PYTHON,0,1,1,1,118.60,USD
932591624-X,,2,1,0,1,175.33,Euro
610713321-6,c++,0,0,1,2,332.93,USD
075476996-8,PYTHON,0,0,0,1,107.22,JOD
535064363-0,PYTHON,2,1,1,0,441.44,JOD
907319741-4,Python,0,0,2,1,134.99,USD
359956840-5,java,2,2,2,2,471.65,Euro
754133224-0,java,1,0,2,0,147.11,Euro
366760985-X,R,2,2,1,1,334.75,USD
553619974-9,c++,0,1,2,2,439.04,JOD
946231921-9,Python,0,2,2,1,161.30,JOD
325456075-2,PYTHON,2,2,2,0,379.37,Euro
432796468-9,R,0,0,2,0,270.19,JOD
343265008-6,c++,2,1,1,0,252.69,Euro
352895450-7,Python,1,2,0,2,312.40,Euro
450103632-X,PYTHON,0,1,0,2,426.26,Euro
216688879-8,c++,1,1,1,2,482.36,JOD
785262191-0,java,2,1,0,1,448.14,USD
902705568-8,c++,2,0,0,1,148.84,USD
340521050-X,C++,2,1,1,0,419.80,JOD
851717213-2,R,2,0,0,1,409.58,USD
147496231-9,PYTHON,2,0,2,0,222.58,Euro
380921344-6,JAVA,2,0,1,0,214.18,USD
301582433-3,R,1,2,1,1,109.59,USD
087839398-6,Python,1,1,1,0,414.55,JOD
374728754-9,C++,1,1,2,2,313.67,JOD
578961622-4,c++,1,2,0,0,245.65,JOD
409797738-5,Python,1,0,2,2,361.34,USD
138474150-X,Python,2,1,2,2,128.83,USD
139195037-2,JAVA,2,1,0,1,245.40,JOD
400372778-9,Python,0,2,1,1,225.46,Euro
588887592-9,R,1,0,2,2,427.87,USD
258776371-1,c++,0,0,0,2,292.75,USD
979446985-8,R,1,2,0,2,398.12,Euro
172383873-X,JAVA,1,2,0,0,216.94,Euro
499484132-2,C++,0,0,2,0,261.87,JOD
986837377-8,,1,1,1,1,333.33,Euro
203115760-4,JAVA,2,2,0,0,235.12,Euro
472873243-6,java,1,0,1,1,196.27,JOD
419738555-2,c++,2,1,1,2,393.43,JOD
718097096-4,java,2,2,2,1,167.74,Euro
970301213-2,PYTHON,2,0,0,1,185.14,Euro
384577287-5,c++,1,2,1,2,189.07,Euro
289931307-X,PYTHON,2,2,1,1,494.12,JOD
394824379-4,C++,0,0,2,2,192.90,Euro
256742330-3,C++,0,2,1,2,369.91,JOD
187265207-7,c++,0,0,1,0,368.68,JOD
784162414-X,R,2,1,0,1,432.92,USD
390245666-3,R,2,,0,0,390.12,USD
034655924-3,JAVA,0,1,2,2,139.63,JOD
211106342-8,R,0,0,1,2,266.62,USD
993806469-8,PYTHON,2,1,2,1,183.62,JOD
362075141-2,JAVA,2,2,1,1,370.22,Euro
711172437-2,c++,1,,0,2,165.14,JOD
278875407-8,C++,0,2,2,0,334.90,USD
128498330-7,JAVA,2,2,1,2,149.86,JOD
875921384-1,R,2,0,0,0,266.03,JOD
405467195-0,JAVA,1,2,0,1,304.36,USD
162368689-X,C++,2,1,1,1,330.66,Euro
560119671-0,C++,2,0,2,0,142.38,Euro
658073160-5,c++,0,2,2,0,450.57,JOD
979793867-0,PYTHON,0,0,0,2,148.92,JOD
088450042-X,java,2,1,0,1,316.67,Euro
080861078-3,C++,1,1,1,2,123.53,USD
775620464-6,C++,1,1,0,2,366.04,Euro
637431240-6,Python,1,2,2,0,404.66,USD
351402515-0,Python,2,0,2,0,217.76,USD
399941560-6,,0,0,0,0,361.40,JOD
577063907-5,java,0,1,2,2,226.91,JOD
478748498-2,java,1,2,0,1,223.91,USD
037096737-2,PYTHON,0,1,2,2,251.22,JOD
231898683-5,R,1,0,1,0,259.93,Euro
947687999-8,R,1,1,1,0,417.44,JOD
773252494-2,c++,2,0,1,1,368.66,Euro
685502288-X,JAVA,2,0,0,0,117.22,Euro
627960410-1,java,1,0,1,1,474.73,Euro
954237015-6,java,1,0,0,1,200.59,USD
773167943-8,PYTHON,2,1,0,2,335.17,JOD
015857586-5,Python,0,2,1,2,314.76,USD
500068617-9,C++,0,2,2,0,244.54,Euro
700625661-5,C++,1,2,0,0,177.90,Euro
397383371-0,R,1,0,1,2,435.56,USD
727424042-0,c++,0,1,1,2,125.96,Euro
643533959-7,C++,2,1,1,0,325.64,Euro
571045001-4,R,1,1,1,1,229.92,JOD
371033097-1,JAVA,0,0,0,2,482.94,Euro
554265676-5,Python,0,,0,1,142.45,JOD
673752255-6,JAVA,1,1,0,2,469.94,JOD
258350409-6,Python,1,1,1,0,178.61,Euro
955739511-7,c++,1,0,0,2,271.44,Euro
182602605-3,Python,2,2,2,2,436.91,USD
943515805-6,java,0,0,0,1,464.88,Euro
781562898-2,R,0,1,0,1,335.08,USD
501184138-3,java,0,1,1,0,350.71,Euro
450983620-1,java,2,0,1,0,415.37,Euro
493224588-2,PYTHON,1,0,2,0,259.17,Euro
632713949-3,R,0,,2,2,223.40,USD
792516445-X,c++,2,2,2,1,343.99,Euro
927249693-4,R,0,0,1,2,373.64,JOD
661250805-1,PYTHON,2,0,1,1,301.58,Euro
517368307-4,java,1,1,0,2,345.97,JOD
833301454-2,R,0,2,0,1,330.88,Euro
229236099-3,,0,,1,2,316.43,Euro
744812238-X,c++,2,1,1,2,330.31,USD
546585157-0,R,1,0,0,1,285.66,JOD
342055838-4,PYTHON,0,1,0,0,431.10,Euro
045625625-3,Python,1,2,1,0,354.66,USD
761597031-8,Python,2,1,2,2,110.51,JOD
974223298-9,PYTHON,1,1,0,2,303.85,USD
618727293-5,C++,2,2,2,2,198.05,Euro
421539757-X,Python,1,2,1,1,497.32,Euro
495349391-5,,2,1,2,2,155.61,USD
138301529-5,R,2,1,2,0,360.44,JOD
370919549-7,Python,2,2,2,2,371.55,Euro
383657415-2,,2,2,2,1,269.22,Euro
401999802-7,C++,2,2,2,2,442.38,JOD
167944280-5,JAVA,1,0,2,0,416.40,JOD
804891068-3,JAVA,0,2,2,1,199.66,JOD
013292526-5,c++,2,1,1,0,111.19,JOD
323781663-9,R,1,0,0,0,144.21,Euro
308903911-7,R,0,2,1,0,329.38,JOD
798089951-2,C++,2,0,1,1,282.97,USD
444588926-1,c++,0,2,2,1,187.97,USD
531874565-2,PYTHON,1,1,1,2,428.67,USD
914476901-6,c++,1,1,0,0,416.28,JOD
481751326-8,PYTHON,1,0,0,2,326.59,USD
074283825-0,c++,0,1,0,2,215.78,USD
269826241-9,PYTHON,2,0,0,0,150.59,JOD
862574472-9,JAVA,1,1,0,2,238.94,USD
834172848-6,R,2,1,1,2,442.42,Euro
405438570-2,PYTHON,1,0,1,2,148.22,JOD
535647574-8,JAVA,0,1,2,2,230.71,USD
711131736-X,Python,2,1,1,0,312.81,JOD
983734898-4,java,2,2,0,1,427.58,USD
881959034-4,C++,2,0,2,1,417.04,USD
632199349-2,Python,2,1,0,0,177.25,Euro
273812048-2,PYTHON,0,2,2,1,258.60,Euro
078808194-2,JAVA,0,2,0,1,273.94,Euro
923110194-3,Python,1,0,2,2,338.67,Euro
699269676-9,PYTHON,1,2,1,0,185.86,Euro
770281201-X,R,0,1,1,0,379.81,Euro
867207158-1,java,2,0,0,1,343.87,USD
562543040-3,R,1,1,2,0,122.42,Euro
139191141-5,,2,1,2,2,331.25,JOD
635177223-0,R,1,0,0,0,272.79,Euro
710890925-1,PYTHON,1,0,1,0,253.82,USD
277646347-2,R,2,,2,2,164.49,JOD
878728182-1,JAVA,0,0,2,2,486.69,USD
763827202-1,Python,1,1,2,2,481.23,Euro
706218598-1,java,0,0,1,2,475.35,JOD
333227396-5,Python,2,2,1,2,476.67,Euro
570521733-1,PYTHON,2,2,2,0,351.71,USD
528458609-3,JAVA,1,2,0,2,132.06,JOD
619155309-9,R,0,1,0,1,396.93,Euro
762341947-1,PYTHON,1,0,2,2,380.03,USD
053241282-6,PYTHON,2,1,2,0,181.52,USD
586859456-8,PYTHON,0,1,1,0,318.87,USD
994279205-8,c++,0,2,2,1,183.02,Euro
988224532-3,java,0,,0,2,151.19,JOD
242039642-1,PYTHON,1,2,2,2,415.99,JOD
979896490-X,PYTHON,1,0,1,2,160.89,JOD
070021046-6,java,1,0,0,0,352.28,USD
258529170-7,PYTHON,0,2,0,0,470.59,USD
401432864-3,Python,0,2,2,2,209.17,USD
082455190-7,R,2,0,2,2,258.20,JOD
441741259-6,java,1,1,0,2,361.22,Euro
984881057-9,R,2,1,1,1,415.43,Euro
063145902-2,JAVA,0,2,1,1,329.29,USD
028276139-X,c++,2,0,0,1,467.15,USD
283283752-2,java,2,1,1,0,469.76,JOD
546411131-X,C++,2,2,1,0,161.50,USD
038651887-4,C++,2,0,2,0,170.60,JOD
275584328-4,Python,1,1,2,0,296.59,JOD
885969402-7,JAVA,1,2,2,0,361.41,Euro
980231939-2,JAVA,0,2,2,1,434.41,USD
578224937-4,PYTHON,1,0,2,2,418.24,Euro
372691158-8,JAVA,1,1,0,0,172.97,JOD
625849235-5,JAVA,0,1,1,2,443.97,USD
158206288-9,JAVA,0,1,2,0,474.38,JOD
536885197-9,PYTHON,0,1,0,0,156.46,USD
901711301-4,JAVA,2,2,2,1,170.50,Euro
958795084-4,PYTHON,2,2,1,1,175.76,Euro
891211684-3,C++,2,1,2,2,196.41,JOD
807723618-9,PYTHON,0,0,1,1,327.58,USD
196074612-X,R,2,2,0,0,480.76,Euro
155206675-4,PYTHON,1,2,0,1,426.29,JOD
775575834-6,c++,0,0,1,0,214.92,Euro
513539396-X,Python,1,2,0,0,481.21,Euro
653048606-2,R,1,,0,0,120.27,Euro
826537167-5,c++,0,1,2,1,286.74,Euro
502952982-9,R,1,0,2,0,181.75,USD
085753932-9,Python,1,0,2,1,455.66,USD
604287665-1,,2,0,2,0,403.29,USD
089602929-8,Python,0,1,1,1,406.33,Euro
916364626-9,PYTHON,0,0,1,0,149.41,JOD
051864410-3,Python,2,1,0,1,431.04,JOD
024223330-9,c++,0,,0,1,249.88,JOD
171567298-4,JAVA,1,0,2,1,378.82,Euro
190894340-8,PYTHON,1,2,2,0,199.94,JOD
018054911-1,C++,2,2,1,0,345.24,JOD
806178549-8,c++,1,2,0,1,244.60,JOD
314856224-0,PYTHON,0,2,0,1,442.97,JOD
545976967-1,PYTHON,0,1,2,1,290.85,USD
030797014-0,C++,0,2,2,2,396.01,Euro
783538883-9,PYTHON,1,2,1,2,320.13,USD
099012318-9,java,0,2,2,2,239.16,JOD
818677540-4,JAVA,1,1,2,2,492.49,Euro
517685342-6,R,0,,2,2,117.79,JOD
847894432-X,java,0,1,2,0,416.71,USD
079683029-0,R,0,0,0,2,343.53,USD
626053363-2,c++,1,2,1,0,326.86,Euro
770843258-8,R,2,1,2,2,448.85,JOD
071124620-3,c++,1,2,2,2,236.99,JOD
683696762-9,JAVA,2,2,2,1,123.67,Euro
389922396-9,R,0,1,2,0,140.43,USD
233940489-4,java,0,1,1,2,174.57,Euro
944409924-5,JAVA,2,1,2,2,234.97,USD
380972004-6,C++,0,2,2,0,363.15,Euro
843163863-X,C++,0,0,1,1,477.07,USD
574015160-0,java,1,2,2,1,439.24,JOD
203818876-9,java,0,1,2,2,307.22,Euro
943481081-7,c++,0,1,1,0,225.26,Euro
225993670-9,Python,2,0,1,2,299.40,JOD
415670917-5,Python,2,1,1,1,314.21,JOD
414255484-0,PYTHON,2,0,1,0,155.20,USD
797361861-9,c++,0,1,1,0,465.80,Euro
877965558-0,PYTHON,2,1,1,0,142.21,JOD
478070702-1,R,2,0,2,2,154.02,JOD
497331327-0,PYTHON,2,1,1,2,320.58,USD
906849493-7,java,2,1,1,2,419.87,USD
410103494-X,C++,2,2,1,0,396.43,JOD
845515105-6,JAVA,2,1,0,1,168.58,USD
204642359-3,java,2,1,1,2,272.15,USD
711029645-8,JAVA,1,2,2,1,253.65,USD
826364448-8,R,0,,1,1,198.90,USD
980218819-0,C++,0,1,1,2,273.43,Euro
215190091-6,R,1,1,2,1,251.89,USD
313761795-2,java,2,2,0,2,298.21,USD
961357543-X,c++,2,1,0,0,233.76,JOD
382971325-8,JAVA,1,,1,1,491.05,Euro
517358757-1,JAVA,2,2,0,0,118.92,JOD
308379704-4,Python,0,1,1,2,124.83,JOD
340152699-5,C++,2,0,2,1,196.17,Euro
800438162-6,Python,1,2,2,0,386.64,USD
037614994-9,R,0,2,0,1,129.53,Euro
